OHIO,,,,
"Individual Income Tax Returns: 
Selected Income and Tax Items by State, 
Congressional district, and Size of Adjusted Gross Income, 
Tax Year 2018                                                                                                                                                                                                                                                                                                                                            ","Individual Income Tax Returns: 
Selected Income and Tax Items by State, 
Congressional district, and Size of Adjusted Gross Income, 
Tax Year 2018                                                                                                                                                                                                                                                                                                                                            ",,,
[Money amounts are in thousands of dollars],[Money amounts are in thousands of dollars],,,
State,"Congressional
district [1]",Size of adjusted gross income by congressional district,Number of returns,Percentage
,,,,
Ohio,9,"$200,000 under $500,000","5,830",1.729765013
Ohio,9,"$500,000 or more","1,330",0.394611915
,,,,
Ohio,10,,"343,070",100
Ohio,10,Under $1,"3,090",0.900690821
Ohio,10,"$1 under $10,000","43,110",12.56594864
Ohio,10,"$10,000 under $25,000","71,700",20.89952488
Ohio,10,"$25,000 under $50,000","88,520",25.8023144
Ohio,10,"$50,000 under $75,000","50,900",14.83662226
Ohio,10,"$75,000 under $100,000","31,970",9.318797913
Ohio,10,"$100,000 under $200,000","42,730",12.45518407
Ohio,10,"$200,000 under $500,000","9,250",2.696242749
Ohio,10,"$500,000 or more","1,800",0.524674265
,,,,
Ohio,11,,"310,950",100
Ohio,11,Under $1,"3,220",1.03553626
Ohio,11,"$1 under $10,000","44,240",14.22736774
Ohio,11,"$10,000 under $25,000","84,430",27.15227529
Ohio,11,"$25,000 under $50,000","84,770",27.26161762
Ohio,11,"$50,000 under $75,000","38,610",12.41678726
Ohio,11,"$75,000 under $100,000","19,200",6.174626146
Ohio,11,"$100,000 under $200,000","24,260",7.801897411
Ohio,11,"$200,000 under $500,000","9,170",2.949027175
Ohio,11,"$500,000 or more","3,050",0.980865091
,,,,
Ohio,12,,"380,740",100
Ohio,12,Under $1,"3,360",0.882491989
Ohio,12,"$1 under $10,000","46,530",12.22093817
Ohio,12,"$10,000 under $25,000","59,100",15.52240374
Ohio,12,"$25,000 under $50,000","80,020",21.01696696
Ohio,12,"$50,000 under $75,000","55,740",14.63991175
Ohio,12,"$75,000 under $100,000","40,640",10.67395073
Ohio,12,"$100,000 under $200,000","67,940",17.84419814
Ohio,12,"$200,000 under $500,000","22,790",5.985712034
Ohio,12,"$500,000 or more","4,620",1.213426485
,,,,
Ohio,13,,"334,770",100
Ohio,13,Under $1,"3,050",0.911073274
Ohio,13,"$1 under $10,000","46,210",13.80350689
Ohio,13,"$10,000 under $25,000","80,590",24.07324432
Ohio,13,"$25,000 under $50,000","94,140",28.12079935
Ohio,13,"$50,000 under $75,000","50,510",15.08797085
Ohio,13,"$75,000 under $100,000","27,180",8.119007079
Ohio,13,"$100,000 under $200,000","27,660",8.262389103
Ohio,13,"$200,000 under $500,000","4,540",1.356154972
Ohio,13,"$500,000 or more",890,0.265854169
,,,,
Ohio,14,,"371,450",100
Ohio,14,Under $1,"4,010",1.079553103
Ohio,14,"$1 under $10,000","47,630",12.82272177
Ohio,14,"$10,000 under $25,000","59,230",15.94561852
Ohio,14,"$25,000 under $50,000","82,590",22.23448647
Ohio,14,"$50,000 under $75,000","57,950",15.60102302
Ohio,14,"$75,000 under $100,000","39,190",10.55054516
Ohio,14,"$100,000 under $200,000","58,380",15.71678557
Ohio,14,"$200,000 under $500,000","17,790",4.789339077
Ohio,14,"$500,000 or more","4,680",1.259927312
,,,,
Ohio,15,,"352,110",100
Ohio,15,Under $1,"3,310",0.940047144
Ohio,15,"$1 under $10,000","41,810",11.87413024
Ohio,15,"$10,000 under $25,000","60,020",17.04580955
Ohio,15,"$25,000 under $50,000","85,750",24.35318508
Ohio,15,"$50,000 under $75,000","57,660",16.37556445
Ohio,15,"$75,000 under $100,000","37,500",10.65008094
Ohio,15,"$100,000 under $200,000","51,570",14.64599131
Ohio,15,"$200,000 under $500,000","12,170",3.456306268
Ohio,15,"$500,000 or more","2,320",0.658885008
,,,,
Ohio,16,,"378,390",100
Ohio,16,Under $1,"3,720",0.983112662
Ohio,16,"$1 under $10,000","46,970",12.41311874
Ohio,16,"$10,000 under $25,000","61,430",16.2345728
Ohio,16,"$25,000 under $50,000","86,950",22.97893708
Ohio,16,"$50,000 under $75,000","61,700",16.30592775
Ohio,16,"$75,000 under $100,000","41,970",11.09173075
Ohio,16,"$100,000 under $200,000","58,350",15.4205978
Ohio,16,"$200,000 under $500,000","14,450",3.818811279
Ohio,16,"$500,000 or more","2,850",0.753191152
